text,paraphrases,category,source
What is the step by step guide to invest in share market in india?,"['Can you provide a detailed procedure for investing in the Indian stock market?', 'What are the sequential instructions for investing in shares in India?', 'Could you outline the step-by-step process for investing in the Indian share market?', 'What is the systematic guide to investing in the Indian stock exchange?', 'Can you provide a comprehensive guide on how to invest in the Indian share market?']",question,quora
What is the story of Kohinoor (Koh-i-Noor) Diamond?,"['Can you tell me about the history of the Kohinoor (Koh-i-Noor) Diamond?', 'What is the tale behind the Kohinoor (Koh-i-Noor) Diamond?', 'Could you narrate the story of the Kohinoor (Koh-i-Noor) Diamond?', 'What is the account of the Kohinoor (Koh-i-Noor) Diamond?', 'Can you describe the legend of the Kohinoor (Koh-i-Noor) Diamond?']",question,quora
How can I increase the speed of my internet connection while using a VPN?,"['What are some ways to enhance my internet speed when utilizing a VPN?', 'Is there a method to boost my internet connection speed when using a VPN?', 'How can I improve the speed of my internet connection when using a VPN?', 'Are there any techniques to increase my internet speed while using a VPN?', 'What steps can I take to speed up my internet connection while using a VPN?']",question,quora
Why am I mentally very lonely? How can I solve it?,"['What is causing my mental loneliness and how can I overcome it?', 'How can I alleviate my mental loneliness and what is the root cause of it?', 'What steps can I take to address my mental loneliness and what factors contribute to it?', 'Why do I feel mentally isolated and what can I do to combat it?', 'How can I improve my mental well-being and reduce feelings of loneliness?']",question,quora
"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?","['Among sugar, salt, methane, and carbon dioxide, which one dissolves rapidly in water?', 'Which substance dissolves the fastest in water: sugar, salt, methane, or carbon dioxide?', 'Of sugar, salt, methane, and carbon dioxide, which one dissolves in water the most quickly?', 'Which of the following substances dissolves in water the quickest: sugar, salt, methane, or carbon dioxide?', 'Which substance dissolves in water at the fastest rate: sugar, salt, methane, or carbon dioxide?']",question,quora
"Angry and saddened: Bonnie Harris, who owns Lexington Vintage in Athens (pictured above), reported the crime to authorities on Saturday morning after she discovered the colorful animal sculpture had gone .","['Bonnie Harris, the owner of Lexington Vintage in Athens (pictured above), reported the theft of a colorful animal sculpture to authorities on Saturday morning, feeling both angry and saddened.', 'After discovering that the colorful animal sculpture had been stolen, Bonnie Harris, the owner of Lexington Vintage in Athens (pictured above), reported the crime to authorities on Saturday morning, feeling a mix of anger and sadness.', 'The theft of a colorful animal sculpture from Lexington Vintage in Athens (pictured above) was reported to authorities on Saturday morning by Bonnie Harris, the owner, who was both angry and saddened by the crime.', 'Feeling both angry and saddened, Bonnie Harris, the owner of Lexington Vintage in Athens (pictured above), reported the theft of a colorful animal sculpture to authorities on Saturday morning.', 'On Saturday morning, Bonnie Harris, the owner of Lexington Vintage in Athens (pictured above), reported the theft of a colorful animal sculpture to authorities, feeling a combination of anger and sadness.']",sentence,cnn_news
Business mascot: She said her husband thinks some type of tool was used to cut the big bird away because part of one foot was left in the ground .,"[""The business's mascot was removed using a tool, leaving a portion of its foot in the ground, according to the woman's husband."", ""The woman's husband believes that a tool was utilized to remove the large bird that served as the company's mascot, as evidenced by the remaining portion of its foot in the ground."", ""A tool was likely used to remove the business's mascot, leaving behind a portion of its foot in the ground, according to the woman's husband."", ""The woman's husband suspects that a tool was employed to cut away the company's mascot, as evidenced by the remaining portion of its foot in the ground."", ""According to the woman's husband, a tool was probably used to remove the business's mascot, leaving a portion of its foot in the ground.""]",sentence,cnn_news
The mascot earned the nickname Rocket the Rusty Rooster.,"['Rocket the Rusty Rooster was the nickname given to the mascot.', 'The mascot was dubbed Rocket the Rusty Rooster.', 'The nickname of the mascot was Rocket the Rusty Rooster.', ""Rocket the Rusty Rooster became the mascot's moniker."", 'The mascot was known as Rocket the Rusty Rooster.']",sentence,cnn_news
She hopes that the structure is still intact and has been sold as scrap metal.,"['She desires that the framework remains undamaged and has been traded as scrap metal.', 'Her wish is that the construction is unharmed and has been sold for scrap metal.', 'She anticipates that the building is still in one piece and has been sold as scrap metal.', 'She expects that the edifice is still standing and has been sold for scrap metal.', 'Her aspiration is that the framework is still complete and has been traded as scrap metal.']",sentence,cnn_news
Anyone with information on the rooster's whereabouts is asked to call the Athens-Clarke Police Department at 706 613 3888.,"[""If you have any information about the rooster's location, please contact the Athens-Clarke Police Department at 706 613 3888."", ""The Athens-Clarke Police Department is requesting that anyone with knowledge of the rooster's whereabouts contact them at 706 613 3888."", ""To report the rooster's location, please call the Athens-Clarke Police Department at 706 613 3888."", ""The Athens-Clarke Police Department is seeking information on the rooster's location and can be reached at 706 613 3888."", ""If you have any details about the rooster's whereabouts, please contact the Athens-Clarke Police Department at 706 613 3888.""]",sentence,cnn_news
